"","Plot","Plot.2","Plot.3","Tag","sla","mean.thick","ssl","lar1","lmf","smf","rmf","sp","rgr.h","size","perc.canopy.open","log_light","new.rgr.h","Comp1","Comp2","Comp3","log_thick","log_ssl","log_lar","log_lmf","log_smf","log_rmf","log_lma","log_rgr","lma","plot_id","log_ini_size"
"110",502,17,1,8,312.4266667,0.109333333,85,156.2133333,0.5,0.2,0.3,"DICHGE",0.074107972,14,1.84,-0.468028512884412,1.074107972,0.70828521,0.452308517,-1.788243708,-1.07786615335276,0.662788006748395,1.4331180645082,1.32019914824631,-1.0962013999797,-0.619715477939225,-0.678193892617508,-0.650703392654937,0.003200751,1,-0.864503842365456
"165",605,24,2,8,309.0166667,0.107666667,76.66666667,145.4196078,0.470588235,0.264705882,0.264705882,"DICHGE",0.348306694,17,4.82,1.678862258105,1.348306694,3.080402882,0.446601596,-1.157796906,-1.22401343844675,0.499926381964837,1.31773611753629,1.21693642429334,-0.478341767393789,-1.04320483134461,-0.61303797460307,1.27357691199206,0.003236071,2,-0.414706090396364
"167",701,25,3,4,272.0777778,0.122333333,32.55555556,12.95608466,0.047619048,0.476190476,0.476190476,"DICHGE",0,30,4.14,1.33982557837636,1,0.994949317,-2.944811508,-1.182285425,-0.00898443833488524,-0.851966884587888,-2.57895948542199,-2.68492951872015,0.815999194253683,0.943580961916224,0.142792177988894,-1.25577210863195,0.00367542,3,0.901132329572697
"182",704,28,4,14,253.3125,0.115,67.5,73.69090909,0.290909091,0.363636364,0.345454545,"DICHGE",0.074107972,14,1.45,-0.999066176907097,1.074107972,0.692800591,0.180683846,0.768856834,-0.597115759136092,0.298939235092964,0.22233002226527,0.397689310081341,0.221589403965953,-0.142376208944476,0.567076818315229,-0.650703392654937,0.003947693,4,-0.864503842365456
"183",704,28,4,15,249.2,0.1235,143.75,58.63529412,0.235294118,0.470588235,0.294117647,"DICHGE",0.09531018,11,1.45,-0.999066176907097,1.09531018,0.692800591,0.180683846,0.768856834,0.0813186857037713,1.49209564539001,-0.145965997242401,0.0362896365191011,0.789912920390389,-0.686717645085429,0.664255028530073,-0.485264404308508,0.004012841,4,-1.42319964856447
"184",704,28,4,16,381.4666667,0.102,93.68421053,71.525,0.1875,0.395833333,0.416666667,"DICHGE",0.111225635,19,1.45,-0.999066176907097,1.111225635,0.692800591,0.180683846,0.768856834,-1.73840928042638,0.816328122118731,0.174255163235413,-0.350460334979138,0.408596720412148,0.491777654036136,-1.863546677634,-0.363168294629437,0.002621461,4,-0.15703165894512
"185",704,28,4,17,278.525,0.1195,81.17647059,58.63684211,0.210526316,0.298245614,0.49122807,"DICHGE",0.074107972,14,1.45,-0.999066176907097,1.074107972,0.692800591,0.180683846,0.768856834,-0.231927879927376,0.590142799588797,-0.14592345375371,-0.153162464689566,-0.215377381717315,1.04877592732237,0.00374689246833058,-0.650703392654937,0.003590342,4,-0.864503842365456
"186",704,28,4,18,351.4,0.101,147.5,39.04444444,0.111111111,0.444444444,0.444444444,"DICHGE",0,12,1.45,-0.999066176907097,1,0.692800591,0.180683846,0.768856834,-1.83214407786864,1.53274229367917,-0.801259458795163,-1.24171584397502,0.663920664308244,0.710143659297748,-1.37612497792281,-1.25577210863195,0.00284576,4,-1.2216219540575
"187",704,28,4,19,224.1,0.136,266.6666667,28.0125,0.125,0.375,0.5,"DICHGE",0.223143551,10,1.45,-0.999066176907097,1.223143551,0.692800591,0.180683846,0.768856834,0.998599390091748,2.46740031565906,-1.33635700554705,-1.04109443454125,0.28941827266483,1.10866242710071,1.29455255792814,0.449006253340199,0.004462294,4,-1.64400303052096
"201",706,30,5,3,294.1,0.106,176.6666667,147.05,0.5,0.25,0.25,"DICHGE",0.09531018,11,6.01,2.17077201874306,1.09531018,-0.021514014,1.590102586,0.446324588,-1.37244089299442,1.81753568394622,1.3357031201474,1.32019914824631,-0.604334019710315,-1.2366002537106,-0.31929977799181,-0.485264404308508,0.003400204,5,-1.42319964856447
"232",806,35,6,6,305.3111111,0.105666667,65.17241379,130.847619,0.428571429,0.258928571,0.3125,"DICHGE",0.236388778,19,1.31,-1.22542724624088,1.236388778,-3.593393732,-1.684470324,-0.610746721,-1.40240625777507,0.243552583226901,1.14757807187856,1.05763225126845,-0.526983477290494,-0.481594306866585,-0.541412378782041,0.540164777497194,0.003275348,6,-0.15703165894512
"251",809,38,7,9,264.0533333,0.115666667,39.53488372,61.61244444,0.233333333,0.286666667,0.48,"DICHGE",0.133531393,16,3.59,1.02204483870074,1.133531393,1.29191459,-1.177620445,1.76761508,-0.542121330142784,-0.545393989797802,-0.0661532254656932,0.0220358808121174,-0.302660196539567,0.97054125602807,0.320528532725105,-0.194959709547344,0.003787114,7,-0.555154063051371
"324",909,48,8,14,271.7933333,0.115666667,70.71428571,144.3150442,0.530973451,0.247787611,0.221238938,"DICHGE",0.057158414,18,2.16,-0.110567278680409,1.057158414,3.034199602,-3.742148057,2.74805588,-0.542121330142784,0.372364455853481,1.30544893874617,1.42257495870215,-0.623927606432205,-1.65012347297349,0.14900151880309,-0.785325385426015,0.003679266,8,-0.282288219513739
"327",909,48,8,8,350.025,0.113333333,75.71428571,187.8182927,0.536585366,0.256097561,0.207317073,"DICHGE",0.194156014,17,2.16,-0.110567278680409,1.194156014,3.034199602,-3.742148057,2.74805588,-0.736008837541498,0.480196654738307,1.73004040845893,1.44048298811107,-0.551216645073513,-1.87003029183493,-1.35284817244559,0.246010067712916,0.002856939,8,-0.414706090396364
"328",909,48,8,9,319.0333333,0.113333333,91.81818182,144.0795699,0.451612903,0.177419355,0.370967742,"DICHGE",0.087011377,12,2.16,-0.110567278680409,1.087011377,3.034199602,-3.742148057,2.74805588,-0.736008837541498,0.784572629008912,1.30281736071904,1.14683133341989,-1.3602749145884,0.0987117474040451,-0.802430637677267,-0.549634628659054,0.003134469,8,-1.2216219540575
"376",1005,54,9,15,284.08,0.138,34.54545455,58.87668394,0.207253886,0.528497409,0.264248705,"DICHGE",0.084557388,37,1.54,-0.864816755400202,1.084557388,-2.455726234,0.192624145,1.97171326,1.13749244051479,-0.758326165797487,-0.139345399357484,-0.179846771033586,1.04572755865552,-1.04905356872963,-0.113498587156762,-0.568763327377176,0.003520135,9,1.38698811750238
"521",1205,68,10,3,339.575,0.112,98.57142857,77.41606218,0.227979275,0.07253886,0.699481865,"DICHGE",0.30538165,19,0.93,-1.98920059729323,1.30538165,-4.214900712,0.158410226,-0.157116729,-0.848601898571155,0.896590423125896,0.301800790864682,-0.0175036739243458,-3.33175519195333,2.24461048011224,-1.17289737681054,0.999744450093897,0.002944858,10,-0.15703165894512
"535",1302,70,11,13,230.9846154,0.161,46.66666667,46.91875,0.203125,0.375,0.421875,"DICHGE",0,28,1.28,-1.27707492450846,1,0.124416919,-1.275679404,0.293051972,2.60408277635918,-0.283628557112964,-0.505200215509118,-0.214122528753208,0.28941827266483,0.53380923332425,1.11490509975354,-1.25577210863195,0.004329293,11,0.741297783184435
"553",1304,72,12,17,471.4,0.1565,83.6,96.20408163,0.204081633,0.510204082,0.285714286,"DICHGE",0.271933715,21,1.61,-0.765717845012583,1.271933715,-1.000066751,-0.825333475,1.514733943,2.33437638561919,0.636575059559452,0.651943070615502,-0.206119473056354,0.968077725345339,-0.784796938386811,-3.12032024746846,0.780053408432589,0.002121341,12,0.0748298921783058
"583",1402,76,13,5,286.0333333,0.129,26.96969697,23.40272727,0.081818182,0.6,0.318181818,"DICHGE",0,16,3.25,0.800229906138463,1,-0.375399667,0.398514405,-0.299401619,0.495855759038365,-1.14906765765114,-1.6261015767468,-1.76298286172292,1.325430527882,-0.42062871634779,-0.15418173338757,-1.25577210863195,0.003496096,13,-0.555154063051371
"589",1403,77,14,12,196.7512821,0.132333333,45.86956522,69.59909297,0.353741497,0.31292517,0.333333333,"DICHGE",0.09531018,22,2.81,0.475923995693204,1.09531018,1.597845575,0.48674806,1.92993286,0.738573107143142,-0.310820981858697,0.130268511612218,0.730781751312052,-0.109469679059816,-0.263228298898174,2.06727015392014,-0.485264404308508,0.005082559,14,0.182601976985419
"593",1403,77,14,6,280.8428571,0.109333333,50.90909091,56.70865385,0.201923077,0.423076923,0.375,"DICHGE",0.530628251,34,2.81,0.475923995693204,1.530628251,1.597845575,0.48674806,1.92993286,-1.07786615335276,-0.146293487867245,-0.199806115132187,-0.224231241875015,0.5553142481563,0.135290468904788,-0.0454563619118873,2.34700757218389,0.00356071,14,1.19109553515353
"616",1406,80,15,11,253.952381,0.128,41.17647059,43.35772358,0.170731707,0.424390244,0.404878049,"DICHGE",0.200670695,33,4.1,1.31818115202533,1.200670695,0.209542594,-2.455687737,1.413180752,0.421816436102576,-0.481180756765613,-0.632399830671399,-0.510036066470018,0.562146156508715,0.394669091381698,0.552098371356652,0.292057598791924,0.003937746,15,1.12193571152918
"645",1502,83,16,12,243.3444444,0.128666667,93.57142857,42.94313725,0.176470588,0.068627451,0.754901961,"DICHGE",0.207639365,16,2.68,0.370324440614863,1.207639365,0.483046413,1.478247999,-1.942530712,0.471239974399238,0.814426867901678,-0.64788311101613,-0.453723060138619,-3.45393713241532,2.5025955663557,0.80542492861676,0.341038292094597,0.004109401,16,-0.555154063051371
