"","Plot.3","Tag","sla","mean.thick","ssl","lar1","lmf","smf","rmf","sp","rgr.h","ini_size","perc.canopy.open","new.rgr.h","Comp1","Comp2","Comp3","sp.number","lma","log_thick","log_ssl","log_lar","log_lmf","log_smf","log_rmf","log_light","log_rgr","log_lma","plot_id","log_ini_size"
"4",1,5,249.5833333,0.2125,25,64.17857143,0.257142857,0.30952381,0.433333333,"PITTKE",0.171850257,19,2.86,1.171850257,0.48496099,0.125959843,-2.222177621,18,0.004006678,-0.883582197569411,-0.914147908277918,0.432938854938394,0.0461668159001879,0.0925055210544395,0.295463282532392,0.386169743082481,0.337525363636837,-0.986329350650674,1,-0.792497985187093
"13",3,4,253.075,0.231,111.4285714,32.65483871,0.129032258,0.451612903,0.419354839,"PITTKE",0,14,3.39,1,1.390397835,1.059080034,-0.207165999,18,0.003951398,0.103723516820452,1.8822309085031,-1.25489258579762,-1.67230250870722,1.46733938037258,0.148128078882065,0.800820783561374,-1.39688140553132,-1.0748566080563,2,-1.61372100109789
"20",5,6,196.3794118,0.224,25.76923077,41.2154321,0.209876543,0.561728395,0.228395062,"PITTKE",0,50,2.6,1,3.815319105,0.490136658,0.431584775,18,0.005092183,-0.260227026616393,-0.857443467393334,-0.673311725768613,-0.460007506675687,2.26137544118933,-2.58219627656089,0.153707763146066,-1.39688140553132,0.541335530940595,3,1.80949946083357
"38",10,2,303.3333333,0.245,110,63.85964912,0.210526316,0.263157895,0.526315789,"PITTKE",0.064538521,16,1.54,1.064538521,2.170123582,0.70691783,-2.75567951,18,0.003296703,0.799657141697793,1.85808730502543,0.420494667872472,-0.452303969716223,-0.498057809627349,1.16893860829985,-1.12366981802022,-0.71287626933846,-2.22913395674651,4,-1.25463245359989
"39",10,1,249.2555556,0.263666667,52.05882353,65.97941176,0.264705882,0.25,0.485294118,"PITTKE",0,44,1.54,1,2.170123582,0.70691783,-2.75567951,18,0.004011947,1.66811755955317,0.458303544297911,0.502066613241183,0.118406382398555,-0.684721531780111,0.804322405967912,-1.12366981802022,-1.39688140553132,-0.977955245114424,4,1.46573385789154
"40",10,10,209.2478261,0.26,23.53333333,33.81288056,0.161592506,0.351288056,0.487119438,"PITTKE",0,36,1.54,1,2.170123582,0.70691783,-2.75567951,18,0.004779022,1.50248523450354,-1.02727101667337,-1.16784077933581,-1.11154390252028,0.553117663736515,0.821191275942071,-1.12366981802022,-1.39688140553132,0.136896244432916,4,0.926096345373863
"46",11,1,150.25,0.2795,54.4,32.78181818,0.218181818,0.151515152,0.63030303,"PITTKE",0.143100844,15,1.91,1.143100844,1.453314909,2.21599552,-1.772887895,18,0.006655574,2.3578549228478,0.540613105227204,-1.24519790948866,-0.363291276040244,-2.50711523645969,1.97908135150101,-0.598501304531388,0.0658618542722004,2.2474432288567,5,-1.42818747581197
"47",11,3,173.10625,0.245,42.65625,45.59176955,0.263374486,0.263374486,0.473251029,"PITTKE",0.03509132,29,1.91,1.03509132,1.453314909,2.21599552,-1.772887895,18,0.005776799,0.799657141697793,0.0855788295285245,-0.421228614790778,0.105840240195735,-0.495063858810323,0.69140896333548,-0.598501304531388,-1.01967360205271,1.34512736767027,5,0.344635758242932
"48",11,5,188.9815789,0.25,31.17117117,56.25039164,0.297650131,0.289817232,0.412532637,"PITTKE",0.029852963,34,1.91,1.029852963,1.453314909,2.21599552,-1.772887895,18,0.005291521,1.03860384219044,-0.501349126335232,0.10356320354561,0.410727138935579,-0.146893899768671,0.0744281281754562,-0.598501304531388,-1.07516293502992,0.7860170840726,5,0.772387682566824
"55",14,3,223.3904762,0.28,38.03738318,63.60949153,0.284745763,0.362711864,0.352542373,"PITTKE",0.228841572,44,1.98,1.228841572,3.429394867,-0.870610171,-0.666954299,18,0.004476467,2.37899426609143,-0.128857773342738,0.410690075435582,0.300272656033996,0.669578287130197,-0.631672607541024,-0.510712737205687,0.856893959188593,-0.2798481850401,6,1.46573385789154
"56",14,6,247.885,0.244666667,31.61016949,73.99552239,0.298507463,0.352238806,0.349253731,"PITTKE",0.082238098,38,1.98,1.082238098,3.429394867,-0.870610171,-0.666954299,18,0.004034129,0.783554419590643,-0.475181331744147,0.788490507553493,0.417894876194576,0.562953589218331,-0.673784649247626,-0.510712737205687,-0.532529781428194,-0.942821233278257,6,1.07149226742337
"57",14,1,254.4458333,0.261666667,67.5,90.8735119,0.357142857,0.285714286,0.357142857,"PITTKE",0,20,1.98,1,3.429394867,-0.870610171,-0.666954299,18,0.00393011,1.57806032713393,0.944328807173737,1.30173707876907,0.864828716797402,-0.198781473340257,-0.573416520028163,-0.510712737205687,-1.39688140553132,-1.10927865316763,6,-0.654561622688387
"66",18,3,182.852381,0.243,16.91176471,59.22724936,0.323907455,0.349614396,0.326478149,"PITTKE",0.112477983,47,1.84,1.112477983,0.70828521,0.452308517,-1.788243708,18,0.005468892,0.702710210409711,-1.64549916566886,0.232381266836169,0.621406242572474,0.535738062865233,-0.976794736122667,-0.689568059561833,-0.231124337170858,0.996105973526442,7,1.64310601274412
"80",21,2,213.5304348,0.235,33.5106383,33.52354949,0.156996587,0.320819113,0.5221843,"PITTKE",0.032789823,31,4,1.032789823,3.353557036,0.898687189,-0.833864514,18,0.004683173,0.306775017087077,-0.365938718964936,-1.18930761440202,-1.18344994977944,0.222941322344575,1.13352763616342,1.20438933570449,-1.04401843716136,0.00779791576793851,8,0.523980168038116
"82",22,7,197.0464286,0.227,49.09090909,62.22518797,0.315789474,0.248120301,0.436090226,"PITTKE",0.068992871,15,3.18,1.068992871,5.732475075,-0.498177211,-0.953539633,18,0.005074946,-0.102874913361242,0.348468965440751,0.355727272728446,0.55815181871211,-0.712186901248868,0.323959514329573,0.644849541397025,-0.667208715421773,0.519729557579587,9,-1.42818747581197
"110",28,8,169.46,0.271333333,29.20289855,56.36141907,0.332594235,0.305986696,0.361419069,"PITTKE",0.051293294,40,3.12,1.051293294,0.977115478,-1.599581171,0.170239256,18,0.005901098,2.00712088139336,-0.623393146101308,0.108488890957498,0.687360395461401,0.0506793910129046,-0.519935753186125,0.598390903650319,-0.849808522251154,1.48078038821677,10,1.20942862992207
"126",30,9,266.5352941,0.226,28.84210526,62.28316151,0.233676976,0.367697595,0.39862543,"PITTKE",0.2135741,26,2.6,1.2135741,0.617829156,1.383955541,2.331598578,18,0.003751848,-0.155093361963353,-0.64665407062232,0.358053497826386,-0.192306510730581,0.719260223577545,-0.0796618730509188,0.153707763146066,0.720160428319989,-1.40506279820637,11,0.0509803535563291
"133",31,11,164.9578947,0.284666667,10.17241379,51.24032698,0.310626703,0.316076294,0.373297003,"PITTKE",0.048790164,42,6.01,1.048790164,-0.021514014,1.590102586,0.446324588,18,0.006062153,2.57449392761751,-2.59663711130486,-0.12946447742691,0.51707246945712,0.168740512237976,-0.374638742039031,2.19738227882889,-0.875880193704271,1.6523582727522,12,1.34063365099944
"141",33,2,252.485,0.224,88.0952381,51.00707071,0.202020202,0.212121212,0.585858586,"PITTKE",0.117783036,18,1.83,1.117783036,2.70206175,-5.41344656,0.043681502,18,0.003960631,-0.260227026616393,1.44258656835446,-0.140861782622088,-0.555085162131487,-1.28264410606639,1.65051952267032,-0.702859671399518,-0.179093996411774,-1.05998474989467,13,-0.937893907236597
"149",35,3,204.6521739,0.2085,21.91709845,43.74535316,0.213754647,0.358736059,0.427509294,"PITTKE",0.161268148,47,2.4,1.161268148,-3.443145282,-2.259554816,-0.56075349,18,0.004886339,-1.10833878310705,-1.16040146486155,-0.52449997493027,-0.414378871301158,0.629468182003765,0.234663138311235,-0.0415167799558627,0.238314267754495,0.278403388012955,14,1.64310601274412
"157",38,8,240.2225806,0.255,33.5,30.9,0.128630705,0.414937759,0.456431535,"PITTKE",0.029852963,34,4.36,1.029852963,1.755005962,-0.667742557,2.483693155,18,0.004162806,1.27281861247543,-0.366532814451658,-1.39287360554331,-1.68007007653343,1.15911520723792,0.528808004407096,1.4145771449782,-1.07516293502992,-0.742745145385851,15,0.772387682566824
"214",49,3,237.0703704,0.234333333,55.86206897,56.14824561,0.236842105,0.254385965,0.50877193,"PITTKE",0.060624622,17,2.16,1.060624622,3.034199602,-3.742148057,2.74805588,18,0.004218157,0.273174240742931,0.590237468681923,0.0990229414161537,-0.158777977850309,-0.6214304628566,1.01660804871151,-0.298491576637849,-0.75316092426108,-0.658576965644706,16,-1.09160257004364
"242",51,6,239.9928571,0.2195,41.62162162,93.70239044,0.390438247,0.294820717,0.314741036,"PITTKE",0.031748698,32,2.39,1.031748698,-0.429678962,-0.340064065,0.452986024,18,0.004166791,-0.500251350853234,0.0396357166401861,1.37831325399744,1.08695861425436,-0.0846028687616197,-1.14130794037199,-0.0517005306007876,-1.05504910327542,-0.736648170005714,17,0.609357799010575
"245",52,4,414.7,0.208,76.05263158,33.99180328,0.081967213,0.62295082,0.295081967,"PITTKE",0,20,2.81,1,-2.032789072,-0.4443457,2.666913527,18,0.002411382,-1.13673605820429,1.16754773809083,-1.15465738732848,-2.80307145049007,2.63784177196958,-1.4311137794532,0.343152671467503,-1.39688140553132,-4.22182373754247,18,-0.654561622688387
"253",54,7,187.6863636,0.248,58.22222222,57.66899441,0.30726257,0.25698324,0.43575419,"PITTKE",0.15415068,28,2.05,1.15415068,0.686506581,-2.955703161,0.624226937,18,0.005328038,0.943603657577193,0.667666547916728,0.165779761314639,0.489935545523918,-0.584463275003751,0.320495782102381,-0.42597452140678,0.171075592474958,0.829839911402501,19,0.250269251512566
"271",57,14,210.8444444,0.228,58.33333333,69.25547445,0.328467153,0.262773723,0.408759124,"PITTKE",0.139761942,23,4.41,1.139761942,-2.891521837,-3.774700569,-1.356223343,18,0.004742833,-0.0508859971421147,0.671233952861859,0.623117730478886,0.656243176660951,-0.503374309659849,0.0331377449944773,1.44238821866818,0.0338695154065643,0.0884603657866211,20,-0.278718070871947
"272",57,25,166.35,0.249,13.04477612,42.25656224,0.254022015,0.307366638,0.438611346,"PITTKE",0.087011377,48,4.41,1.087011377,-2.891521837,-3.774700569,-1.356223343,18,0.006011422,0.991199131851674,-2.13127830959601,-0.610994643168258,0.015736251885734,0.0670543473687816,0.349861453911204,1.44238821866818,-0.484398232553811,1.59880942043987,20,1.69972219849745
"304",61,7,225.9851852,0.203666667,36.79012346,93.51111111,0.413793103,0.310344828,0.275862069,"PITTKE",0.109199292,29,3.16,1.109199292,-0.556088829,0.348694223,0.526644253,18,0.004425069,-1.38574438128711,-0.191240394666978,1.37320877538679,1.23173980612513,0.102145644257552,-1.73374877161724,0.629461447854118,-0.263404940925227,-0.353434349450287,21,0.344635758242932
"311",62,1,220.1833333,0.224333333,66.21621622,73.39444444,0.333333333,0.308333333,0.358333333,"PITTKE",0.245122458,23,2.5,1.245122458,2.00941305,-2.32745189,1.648757292,18,0.00454167,-0.242639740732467,0.908399493551097,0.768116069253181,0.692892228141619,0.0784818153120995,-0.558463692213607,0.0580482580139997,1.00084431470784,-0.1877039031379,22,-0.278718070871947
"404",72,3,182.2666667,0.213,35.39130435,28.18556701,0.154639175,0.395189003,0.450171821,"PITTKE",0.048790164,42,0.86,1.048790164,-0.150391778,-1.533101221,0.850215291,18,0.005486467,-0.855785570447945,-0.263770487791216,-1.62255398229625,-1.22115419999287,0.981654531806547,0.466758039085775,-2.54464691899194,-0.875880193704271,1.01655059928036,23,1.34063365099944
"412",73,5,200.5818182,0.226333333,51.91489362,76.96744186,0.38372093,0.273255814,0.343023256,"PITTKE",0.139761942,23,1.61,1.139761942,-1.000066751,-0.825333475,1.514733943,18,0.004985497,-0.137661601140233,0.45312323689852,0.886856074074217,1.04371018873686,-0.36102876214433,-0.754666384840957,-1.01525175858424,0.0338695154065643,0.406416514780142,24,-0.278718070871947
"426",75,21,199.84,0.243,45.29411765,55.51111111,0.277777778,0.354166667,0.368055556,"PITTKE",0.287682072,20,6.36,1.287682072,-0.155851788,-0.597766969,2.31830081,18,0.005004003,0.702710210409711,0.197851328464749,0.0705153138977909,0.238530393017324,0.582816919147588,-0.438176387488339,2.33543879756163,1.36843009578412,0.430025611746957,25,-0.654561622688387
"430",76,11,211.9230769,0.221666667,22.33082707,43.046875,0.203125,0.346354167,0.450520833,"PITTKE",0.182321557,30,3.6,1.182321557,-1.454611174,1.754734421,-0.773825768,18,0.004718693,-0.384075882837321,-1.12540992313261,-0.564706980567901,-0.541493671810463,0.501643040814483,0.47024029939888,0.947414539022505,0.43481960328869,0.0559451160905235,26,0.435802776798488
"431",76,12,230.6346154,0.2205,62.14285714,45.08646617,0.195488722,0.421052632,0.383458647,"PITTKE",0.064538521,32,3.6,1.064538521,-1.454611174,1.754734421,-0.773825768,18,0.004335863,-0.44649007921499,0.789604060920759,-0.449068920409289,-0.636987751215463,1.21235338929144,-0.253959692533405,0.947414539022505,-0.71287626933846,-0.483202716192603,26,0.609357799010575
"437",77,6,187.08,0.245,45.96491228,73.36470588,0.392156863,0.279411765,0.328431373,"PITTKE",0.040821995,25,3.25,1.040821995,-0.375399667,0.398514405,-0.299401619,18,0.005345307,0.799657141697793,0.225358714473442,0.767103708934052,1.09790413033382,-0.279955351559086,-0.949992593890907,0.697955941620181,-0.959289934726889,0.850459362188916,27,-0.0544907917768881
"444",78,4,189.5888889,0.247333333,48.82352941,54.34076433,0.286624204,0.324840764,0.388535032,"PITTKE",0.182321557,24,2.81,1.182321557,1.597845575,0.48674806,1.92993286,18,0.005274571,0.911766585007805,0.33824991572727,0.017286856200758,0.316658753703721,0.268276519928627,-0.194865535731306,0.343152671467503,0.43481960328869,0.765573089370472,28,-0.16426805411301
"445",78,10,180.1684211,0.2445,50,44.74771242,0.248366013,0.352941176,0.39869281,"PITTKE",0,14,2.81,1,1.597845575,0.48674806,1.92993286,18,0.005550362,0.775494805620761,0.382802100225399,-0.467908227716708,-0.0403791977133563,0.570202878612146,-0.0789024272573,0.343152671467503,-1.39688140553132,1.09033040122206,28,-1.61372100109789
"491",84,8,250.3142857,0.213333333,46.96969697,84.78387097,0.338709677,0.266129032,0.39516129,"PITTKE",0.194156014,17,2.68,1.194156014,0.483046413,1.478247999,-1.942530712,18,0.003994978,-0.837290730747995,0.265820051124802,1.12846853889553,0.73276652796779,-0.457200911877018,-0.118880450454784,0.227622654092789,0.543747727261384,-1.00496379155871,29,-1.09160257004364
"503",87,15,223.2847826,0.232666667,26.74418605,78.00835443,0.349367089,0.326582278,0.324050633,"PITTKE",0.209720531,37,4.14,1.209720531,-0.689752453,-2.070604838,0.968021925,18,0.004478586,0.188752364364178,-0.787958301909255,0.920412621368992,0.809971170928841,0.287734340940166,-1.01032948615079,1.2882945783949,0.685376461877264,-0.276832590997025,30,0.999776830919392
"504",87,3,203.7263158,0.248666667,27.27272727,69.36917563,0.340501792,0.394265233,0.265232975,"PITTKE",0.196710294,28,4.14,1.196710294,-0.689752453,-2.070604838,0.968021925,18,0.004908546,0.97535526134991,-0.751340629878938,0.627215475844917,0.74591743466102,0.973137928699541,-1.91030215098738,1.2882945783949,0.567116461732314,0.307296968826433,30,0.250269251512566
"541",92,14,164.9903226,0.263,35,56.20549451,0.340659341,0.315018315,0.344322344,"PITTKE",0.405465108,30,4,1.405465108,0.65049599,0.927609495,-1.932567341,18,0.006060962,1.63817459342759,-0.284573580651735,0.101568599146645,0.747070249674762,0.156539038217419,-0.737681547032371,1.20438933570449,2.32567176339765,1.65110626329193,31,0.435802776798488
"542",92,19,187.49,0.236333333,22.09302326,63.42156448,0.338266385,0.272727273,0.389006342,"PITTKE",0.371563556,28,4,1.371563556,0.65049599,0.927609495,-1.932567341,18,0.005333618,0.37369149797712,-1.14544239449008,0.403299128803643,0.729502826190413,-0.36807453995655,-0.189418243522615,1.20438933570449,2.05862789428152,0.836509816355786,31,0.250269251512566
"543",92,15,155.9818182,0.226333333,32.84090909,19.64656489,0.125954198,0.335877863,0.538167939,"PITTKE",0.064538521,32,4,1.064538521,0.65049599,0.927609495,-1.932567341,18,0.006411004,-0.137661601140233,-0.403712521519649,-2.52409670011197,-1.73247179904401,0.389869388448005,1.26900161129163,1.20438933570449,-0.71287626933846,2.0088807633417,31,0.609357799010575
"544",92,6,212.0181818,0.192666667,42.98507463,57.72772277,0.272277228,0.331683168,0.396039604,"PITTKE",0.064538521,32,4,1.064538521,0.65049599,0.927609495,-1.932567341,18,0.004716577,-2.04244147861673,0.0999473108995606,0.168322342436486,0.18868691987604,0.344134834974425,-0.10890435290593,1.20438933570449,-0.71287626933846,0.0530870556374688,31,0.609357799010575
"545",92,13,144.2515152,0.252,33,25.45614973,0.176470588,0.427807487,0.395721925,"PITTKE",0.044451763,23,4,1.044451763,0.65049599,0.927609495,-1.932567341,18,0.006932336,1.13284704517865,-0.3946702370984,-1.87698077847899,-0.892049406029778,1.27027203302533,-0.112510069653547,1.20438933570449,-0.921215098312146,2.50705473690254,31,-0.278718070871947
"552",93,11,227.9095238,0.215,22.06896552,38.51991952,0.169014085,0.336016097,0.494969819,"PITTKE",0.348306694,34,1.76,1.348306694,2.031845969,0.672880094,-0.55672176,18,0.004387706,-0.745247762173134,-1.14748100386872,-0.842268781981489,-0.999638359538815,0.391366807863506,0.893027996402147,-0.797986118997815,1.87158753339985,-0.407465191045166,32,0.772387682566824
"568",95,5,206.6470588,0.243666667,54.6875,87.27950311,0.422360248,0.198757764,0.378881988,"PITTKE",0.459532329,19,3.42,1.459532329,0.657468426,0.307149648,0.447749569,18,0.004839169,0.735114245204476,0.550475710151509,1.20093598456396,1.28280902381703,-1.51944706702554,-0.30791102507407,0.822309951083723,2.73851311596849,0.216592204566889,33,-0.792497985187093
"597",100,11,191.0541667,0.222,40.44444444,68.9518797,0.360902256,0.169172932,0.469924812,"PITTKE",0.111225635,19,4.34,1.111225635,2.906798452,2.010155382,-1.83321964,18,0.005234118,-0.366303606676016,-0.0140471599253542,0.61214324509923,0.890924148355703,-2.10595112273893,0.659716413341865,1.40336331034581,-0.243443182079279,0.716514572709553,34,-0.792497985187093
"610",101,7,237.4230769,0.220333333,29.82300885,30.11219512,0.126829268,0.275609756,0.597560976,"PITTKE",0.025975486,39,3.24,1.025975486,3.248473861,1.451960469,-1.933392221,18,0.00421189,-0.455433356057083,-0.584077083100813,-1.45738649821878,-1.71521780316043,-0.329813876547739,1.73938794142384,0.69043974234052,-1.11641870449043,-0.668051106805012,35,1.1413447530432
"611",102,5,195.1684211,0.212666667,18.63945578,35.12503383,0.179972936,0.205683356,0.614343708,"PITTKE",0.336472237,35,4.95,1.336472237,2.914800085,0.994945674,-1.179604451,18,0.00512378,-0.874309376207007,-1.46349489241587,-1.07273667872118,-0.843074189017197,-1.3948024956916,1.86384497131786,1.72412469743304,1.7751681309519,0.580752025294863,36,0.850340082424065
"612",102,1,211.3916667,0.2225,46.2745098,39.22731959,0.18556701,0.262886598,0.551546392,"PITTKE",0.074107972,28,4.95,1.074107972,2.914800085,0.994945674,-1.179604451,18,0.004730555,-0.339695137868966,0.237919312052667,-0.796810557465047,-0.766792360382807,-0.501811443132818,1.37933641552008,1.72412469743304,-0.615001052932949,0.0719433106061317,36,0.250269251512566
"613",103,7,157.9764706,0.2385,40.61538462,49.27706422,0.311926606,0.298165138,0.389908257,"PITTKE",0.127833372,25,2.89,1.127833372,4.328388603,-0.608784617,0.986701558,18,0.006330057,0.48162976617884,-0.00615552678160734,-0.227056162338469,0.527479548564053,-0.0435531176392299,-0.179012492438892,0.411620458219171,-0.0811969191939222,1.92791319832109,37,-0.0544907917768881
"621",104,22,261.5714286,0.235,126.4285714,39.80434783,0.152173913,0.304347826,0.543478261,"PITTKE",0.064538521,16,2.38,1.064538521,3.038341777,-0.493491857,1.248810627,18,0.003823048,0.306775017087077,2.1185395205361,-0.760333146829061,-1.26120326401119,0.031135684625467,1.31312172156198,-0.0619269805346916,-0.71287626933846,-1.28527124884576,38,-1.25463245359989
"640",105,25,299.3166667,0.208666667,41.79487179,123.3824427,0.41221374,0.297709924,0.290076336,"PITTKE",0.246860078,32,4.28,1.246860078,-1.473165093,-1.908850131,-0.663661836,18,0.003340943,-1.09888813694562,0.047408027020758,2.06567245343354,1.22220981123163,-0.0491133097885325,-1.50799026591662,1.36940909976679,1.01609648692621,-2.14419292441923,39,0.609357799010575
"668",107,5,209.0769231,0.21,43.11111111,38.41696113,0.183745583,0.159010601,0.657243816,"PITTKE",0.223143551,25,3.19,1.223143551,0.224422226,0.364151047,0.091969801,18,0.004782929,-1.02355376486619,0.105425543084244,-0.848954495901277,-0.791374234994463,-2.33139826372989,2.16714639915385,0.652507333358276,0.806062940398949,0.142103477231703,40,-0.0544907917768881
