"","Plot.3","Tag","sla","mean.thick","ssl","lar1","lmf","smf","rmf","sp","rgr.h","ini_size","perc.canopy.open","new.rgr.h","Comp1","Comp2","Comp3","sp.number","lma","log_thick","log_ssl","log_lar","log_lmf","log_smf","log_rmf","log_light","log_rgr","log_lma","plot_id","log_ini_size"
"9",2,1,255.927451,0.129333333,35.73170732,66.25532995,0.258883249,0.416243655,0.324873096,"PARACH",0.129211731,33,1.9,1.129211731,3.525751882,-1.343681615,0.991795209,17,0.003907357,-0.138430104790907,-0.119405834450683,-0.374794880095809,-0.244600674474432,0.236257550087019,0.536374248644183,-0.449502096354508,-0.15058634140175,0.261965964789202,1,0.236933657635572
"12",3,5,261.4,0.2295,118.3333333,42.38918919,0.162162162,0.486486486,0.351351351,"PARACH",0.122602322,26,3.39,1.122602322,1.390397835,1.059080034,-0.207165999,17,0.003825555,2.47234756985322,1.71760170531683,-1.52206794828995,-1.32956364085574,0.823131056648042,0.77000851850803,0.630358011901491,-0.227267070153873,0.124925261711284,2,-0.468240909690918
"16",4,12,575.75,0.1505,22.53968254,16.85121951,0.029268293,0.307317073,0.663414634,"PARACH",0.133531393,16,3.92,1.133531393,3.781354497,0.607194268,0.101602321,17,0.001736865,0.551559047387239,-0.826249075193678,-3.89168710614859,-5.30056515162811,-0.905552880611342,2.66531324055515,0.901288655906704,-0.100712832810659,-4.98955671852111,3,-1.9042809005451
"19",5,2,290.86,0.111333333,38.97435897,71.37668712,0.245398773,0.484662577,0.26993865,"PARACH",0.101782694,31,2.6,1.101782694,3.815319105,0.490136658,0.431584775,17,0.00343808,-0.820654485213931,0.0138526151056597,-0.183535696690789,-0.36867075605089,0.808994637429059,-0.0159836200575089,0.135507066126348,-0.471796181238061,-0.566769767754913,4,0.0520103053243015
"22",6,18,291.084375,0.123666667,17.90243902,91.68011811,0.31496063,0.431102362,0.253937008,"PARACH",0.074107972,42,2.44,1.074107972,2.503477133,0.284605684,-0.430533493,17,0.00343543,-0.342387115946856,-1.17960925152901,0.459516749665099,0.210162316916079,0.36826133429257,-0.198199994427018,0.0170469071441871,-0.804091711704313,-0.571764127830912,5,0.950245259649851
"23",6,9,222.44,0.196666667,47.20930233,75.58640777,0.339805825,0.417475728,0.242718447,"PARACH",0.048790164,21,2.44,1.048790164,2.503477133,0.284605684,-0.430533493,17,0.004495594,1.76950849938227,0.307915357821093,-0.0363315800855655,0.386265615808916,0.24738097410147,-0.332932310760878,0.0170469071441871,-1.11567375407779,1.17029660187863,5,-1.09995257131454
"27",7,11,343.94,0.1425,69.64285714,47.76944444,0.138888889,0.388888889,0.472222222,"PARACH",0.083381609,25,2.54,1.083381609,0.162163168,1.816223701,-0.543238429,17,0.002907484,0.302908609522759,0.904348192126115,-1.21511767236854,-1.68888883061875,-0.019574203333745,1.65163145401467,0.0919614174645606,-0.691797093760071,-1.65249894675112,6,-0.584248336815958
"28",7,4,248.6916667,0.126,35.54054054,47.36984127,0.19047619,0.391534392,0.417989418,"PARACH",0.036367644,28,2.54,1.036367644,0.162163168,1.816223701,-0.543238429,17,0.004021043,-0.257295316102444,-0.127635276175823,-1.23669649444046,-0.95630408273448,0.00594113548431442,1.28786479623493,0.0919614174645606,-1.27131718525161,0.447730893275929,6,-0.249043590524171
"32",8,4,292.1694444,0.136666667,21.38297872,85.8939124,0.293986637,0.418708241,0.287305122,"PARACH",0.146603474,44,3.48,1.146603474,1.927921914,2.4534634,0.051932304,17,0.003422671,0.11263641262642,-0.907067674114988,0.29205164073049,0.0503257306983926,0.258475573370787,0.169935045209202,0.679228595429572,0.0490637213683703,-0.595864612996366,7,1.08784263842594
"33",8,6,342.75,0.202,147.7777778,85.6875,0.25,0.375,0.375,"PARACH",0.064538521,16,3.48,1.064538521,1.927921914,2.4534634,0.051932304,17,0.002917578,1.89131587640556,2.05848013571031,0.285871165127508,-0.325584956386511,-0.1564437444597,0.964244223323955,0.679228595429572,-0.920989366822347,-1.63005104739547,7,-1.9042809005451
"34",9,4,385.3777778,0.215,116.1538462,150.8,0.391304348,0.282608696,0.326086957,"PARACH",0.30538165,19,1.5,1.30538165,2.950070985,1.626724028,-0.692708094,17,0.002594856,2.17524304834776,1.68908331091104,1.73786507592031,0.713557096133116,-1.22099714442913,0.547494921791598,-0.890395666973475,1.74315182964184,-2.38931818809252,8,-1.39598045024666
"45",11,8,349.7,0.132,86.36363636,87.425,0.25,0.458333333,0.291666667,"PARACH",0.139761942,23,1.91,1.139761942,1.453314909,2.21599552,-1.772887895,17,0.002859594,-0.0455232070871743,1.23446111984725,0.337437600474347,-0.325584956386511,0.598779925266129,0.214862014591173,-0.439711414753443,-0.0291105601967459,-1.76007398724463,9,-0.830875313861534
"50",12,4,302.6177778,0.116666667,13.61702128,54.62414761,0.180505415,0.440433213,0.379061372,"PARACH",0.021053409,48,4.25,1.021053409,-1.491070291,2.479300865,-1.017920021,17,0.003304499,-0.607643465515384,-1.59935805990674,-0.870670950498039,-1.08100914436719,0.448850073948016,0.996365014139441,1.05204136945464,-1.46577931172738,-0.823447385507903,10,1.34520578059332
"54",14,5,256.0764706,0.149,45.2238806,97.171875,0.379464286,0.299107143,0.321428571,"PARACH",0.121360857,35,1.98,1.121360857,3.429394867,-0.870610171,-0.666954299,17,0.003905083,0.505959874102199,0.242002668735648,0.608957257558024,0.642293613306758,-1.00746153998118,0.504589840400955,-0.372579006350522,-0.241720591902836,0.258195314101544,11,0.410972691340399
"61",17,6,261.3666667,0.115,13.51535836,65.70670391,0.251396648,0.508379888,0.240223464,"PARACH",0.072320662,43,2.55,1.072320662,5.002054593,-0.376557219,-0.017730193,17,0.003826043,-0.673145031664382,-1.61085425408784,-0.39615413313197,-0.312663555611484,0.988799676847005,-0.363742368447282,0.0992899949175065,-0.825845676151096,0.125751452219589,12,1.01984400592611
"62",17,2,292.4,0.102,18.48979592,52.94969819,0.181086519,0.54527163,0.273641851,"PARACH",0.042559614,48,2.55,1.042559614,5.002054593,-0.376557219,-0.017730193,17,0.003419973,-1.21923335093073,-1.13008608279747,-0.950646375842634,-1.07355430241138,1.25245185600185,0.0246453756680149,0.0992899949175065,-1.19350533966073,-0.600972373738207,12,1.34520578059332
"65",18,2,238.2238095,0.138,37.8125,106.4404255,0.446808511,0.340425532,0.212765957,"PARACH",0.262364264,26,1.84,1.262364264,0.70828521,0.452308517,-1.788243708,17,0.004197733,0.156833636103798,-0.0325750692435146,0.842983301875461,1.02121076993705,-0.520485456543994,-0.725669982287531,-0.509350671627872,1.30544080360915,0.726268776572895,13,-0.468240909690918
"95",23,20,285.4789474,0.122,27.05128205,60.60446927,0.212290503,0.43575419,0.351955307,"PARACH",0.068992871,45,4.29,1.068992871,1.217017859,0.970943012,-2.238763531,17,0.003502885,-0.404155774710705,-0.546345890459541,-0.603794208689072,-0.704816743660039,0.408653972121663,0.775129776223177,1.06951335260703,-0.86644614164347,-0.445817558866677,14,1.15431308166752
"99",24,1,300.3,0.109666667,22.70072993,74.36,0.247619048,0.482539683,0.26984127,"PARACH",0.09237332,34,4.87,1.09237332,1.689047497,1.656820942,-1.763992064,17,0.003330003,-0.889317590601045,-0.815326970540723,-0.0783524127299283,-0.347780198885135,0.79247375126794,-0.0170595128630863,1.30602407649904,-0.583830420840987,-0.773649072194944,15,0.325233057840726
"119",29,11,263.0384615,0.114666667,25.44,81.41666667,0.30952381,0.425170068,0.265306122,"PARACH",0.117783036,36,1.45,1.117783036,0.692800591,0.180683846,0.768856834,17,0.003801725,-0.686359191434639,-0.640556153006544,0.154537496945048,0.16977572164822,0.316113138422446,-0.0676005792867891,-0.953626148091125,-0.283464380004635,0.0844519921678661,16,0.494296799802946
"120",29,10,280.4166667,0.122,25.2,76.08204134,0.271317829,0.400516796,0.328165375,"PARACH",0.100083459,42,1.45,1.100083459,0.692800591,0.180683846,0.768856834,17,0.003566122,-0.404155774710705,-0.655097283114964,-0.0195426447630979,-0.135789601335773,0.0913060851067558,0.566440376347442,-0.953626148091125,-0.491957433221716,-0.329929962369646,16,0.950245259649851
"131",31,2,266.5315789,0.134666667,27.11538462,90.66163683,0.340153453,0.265984655,0.393861893,"PARACH",0.125163143,34,6.01,1.125163143,-0.021514014,1.590102586,0.446324588,17,0.003751901,0.0455254272816058,-0.542714935198734,0.430820338984602,0.388637179647836,-1.44915776146123,1.11057646982806,1.69831639778399,-0.197503618260434,-0.000996014331599387,17,0.325233057840726
"132",31,5,258.1130435,0.126,10.5,65.04243028,0.251992032,0.523904382,0.224103586,"PARACH",0.105360516,50,6.01,1.105360516,-0.021514014,1.590102586,0.446324588,17,0.003874271,-0.257295316102444,-1.99813438557984,-0.422255789584771,-0.30717703704699,1.10200647916518,-0.570865349091047,1.69831639778399,-0.429447150045289,0.206886597778051,17,1.46594949414843
"148",35,6,336.25,0.216,136.9230769,46.37931034,0.137931034,0.448275862,0.413793103,"PARACH",0,20,2.4,1,-3.443145282,-2.259554816,-0.56075349,17,0.002973978,2.19636735262625,1.94144479511531,-1.29098063901831,-1.70494001547853,0.515275763583073,1.25777786252191,-0.0137822338022928,-1.73793362959012,-1.50603585688889,18,-1.24426461868053
"151",36,8,261.4888889,0.133,130.7692308,73.54375,0.28125,0.40625,0.3125,"PARACH",0.105360516,20,1.31,1.105360516,-3.593393732,-1.684470324,-0.610746721,17,0.003824254,-0.0111662183208548,1.87090005711687,-0.106705774546772,-0.0524006896517971,0.144796790456797,0.420588483039685,-1.14300381138,-0.429447150045289,0.122722136235024,19,-1.24426461868053
"167",41,2,232.74,0.216,205,52.89545455,0.227272727,0.272727273,0.5,"PARACH",0.064538521,16,2.51,1.064538521,2.8547893,-2.57344624,1.47677076,17,0.00429664,2.19636735262625,2.56058429425337,-0.953279273820413,-0.546646009575696,-1.35494358030143,1.82206933635783,0.0698013085178415,-0.920989366822347,0.877112711707446,20,-1.9042809005451
"169",42,4,261.18,0.255,63.10344828,38.40882353,0.147058824,0.426470588,0.426470588,"PARACH",0.090971778,23,3.31,1.090971778,-0.488586084,-2.032922035,1.13574921,17,0.003828777,2.95197807520195,0.753080877741953,-1.77536499567713,-1.55631642797002,0.327607440896349,1.34776209517038,0.585815702483242,-0.600600637489446,0.130378202601223,21,-0.830875313861534
"170",42,11,340.4,0.205,125.4545455,75.64444444,0.222222222,0.407407407,0.37037037,"PARACH",0.068992871,15,3.31,1.068992871,-0.488586084,-2.032922035,1.13574921,17,0.00293772,1.95842686191527,1.8072501482765,-0.0343599826279736,-0.598769225440611,0.155503757097407,0.92720211503777,0.585815702483242,-0.86644614164347,-1.58548872407118,21,-2.0951735994709
"171",42,2,200.6111111,0.149,69.2,44.03658537,0.219512195,0.304878049,0.475609756,"PARACH",0.048790164,21,3.31,1.048790164,-0.488586084,-2.032922035,1.13574921,17,0.004984769,0.505959874102199,0.894561882644578,-1.42412717633807,-0.627228299426661,-0.935541062832319,1.67294570660685,0.585815702483242,-1.11567375407779,1.83931441698354,21,-1.09995257131454
"175",43,9,232.3117647,0.139,28.91472868,103.3848168,0.445026178,0.361256545,0.193717277,"PARACH",0.105360516,40,2.6,1.105360516,-0.751398434,-1.314666538,1.463107786,17,0.00430456,0.189702222240122,-0.444150680854431,0.768161726232616,1.01194016654712,-0.296963970815549,-1.00534676656386,0.135507066126348,-0.429447150045289,0.889041017984334,22,0.805933212283865
