"","Plot","Plot.2","Plot.3","Tag","sla","mean.thick","ssl","lar1","lmf","smf","rmf","sp","rgr.h","size","perc.canopy.open","log_light","new.rgr.h","Comp1","Comp2","Comp3","log_thick","log_ssl","log_lar","log_lmf","log_smf","log_rmf","log_lma","log_rgr","lma","log_ini_size","plot_id"
"10",102,2,1,6,252.1222222,0.171333333,16.4375,120.839645,0.479289941,0.315581854,0.205128205,"SAPRTE",0.16034265,27,1.9,-0.0601824345192844,1.16034265,3.525751882,-1.343681615,0.991795209,0.629813852344288,-0.521122872636617,0.563054027248442,0.951748934926585,-0.147582007329513,-0.929475734770931,0.552642347436744,-0.289263132956252,0.00396633,0.374488492154724,1
"17",201,3,2,7,284.8138889,0.158,29.53125,128.3668232,0.450704225,0.300469484,0.248826291,"SAPRTE",0.15415068,21,3.39,1.2696517727556,1.15415068,1.390397835,1.059080034,-0.207165999,0.103639142887508,0.384671891461387,0.756858711484196,0.726641842545817,-0.350579929155569,-0.278382194007424,-0.245318347951934,-0.348654525407471,0.003511065,-0.1735663283832,2
"21",202,4,3,11,302.725641,0.140666667,17.00729927,54.09530355,0.178694158,0.470790378,0.350515464,"SAPRTE",0.139761942,23,3.92,1.60329946975131,1.139761942,3.781354497,0.607194268,0.101602321,-0.651058698080536,-0.468438271733545,-2.01464639666703,-2.65991901306915,1.50709480886625,0.876843784884819,-0.644496169476657,-0.487906413063026,0.003303321,0.024820695870048,3
"34",204,5,4,7,247.0622807,0.156666667,10.07317073,105.94511,0.428819444,0.355902778,0.215277778,"SAPRTE",0.360002734,43,2.44,0.514366823740279,1.360002734,2.503477133,0.284605684,-0.430533493,0.0485989473983868,-1.27819877536758,0.141165263221352,0.544433680953332,0.34981821414173,-0.766654987926868,0.685329410473596,1.47308512006391,0.004047562,1.38933103039651,4
"52",303,8,5,1,202.9818182,0.198,10.09411765,66.40297398,0.327137546,0.394981413,0.277881041,"SAPRTE",0.120627988,44,1.5,-0.603137348303055,1.120627988,2.950070985,1.626724028,-0.692708094,1.56931238133549,-1.27498717723409,-1.35718324934997,-0.446329696690732,0.780788934682446,0.0939540685737891,1.97155200513732,-0.675830001384974,0.00492655,1.43946550286224,5
"56",303,8,5,7,327.053125,0.161,28.71428571,125.7896635,0.384615385,0.336538462,0.278846154,"SAPRTE",0.15415068,21,1.5,-0.603137348303055,1.15415068,2.950070985,1.626724028,-0.692708094,0.225800220770978,0.341299108658197,0.691813657696836,0.146188124623455,0.118387353983187,0.105643210337067,-1.15038561850546,-0.348654525407471,0.003057607,-0.1735663283832,5
"62",304,9,6,5,270.6921569,0.181,12.5,78.88742857,0.291428571,0.4,0.308571429,"SAPRTE",0.055569851,37,1.54,-0.542689843199417,1.055569851,2.170123582,0.70691783,-2.75567951,0.986282642874237,-0.944483023633046,-0.804642617997877,-0.869444184836826,0.833018815254072,0.447147773462325,0.0875107448992043,-1.33969877362877,0.003694233,1.0616025892336,6
"63",304,9,6,6,307.4947368,0.167333333,22.6,140.357958,0.456456456,0.3003003,0.243243243,"SAPRTE",0.139761942,23,1.54,-0.542689843199417,1.139761942,2.170123582,0.70691783,-2.75567951,0.476388469578852,-0.0288902109819915,1.04327672223942,0.773065720876911,-0.352909843739054,-0.354890746095723,-0.746799290320546,-0.487906413063026,0.003252088,0.024820695870048,6
"88",404,14,7,10,293.5166667,0.1555,32.98245614,83.86190476,0.285714286,0.271428571,0.442857143,"SAPRTE",0.257829109,22,2.06,0.125524533104024,1.257829109,5.169626992,-0.729984602,-0.139759684,5.31220839437321e-05,0.555549765269077,-0.608522251544798,-0.941933878194441,-0.771068441082771,1.66523133196517,-0.442308185750398,0.606188543985368,0.003406962,-0.0721176411963859,7
"103",502,17,8,10,304.3766667,0.142666667,29,86.9647619,0.285714286,0.428571429,0.285714286,"SAPRTE",0.111225635,19,1.84,-0.133885205875218,1.111225635,0.70828521,0.452308517,-1.788243708,-0.559367210743114,0.356606477961047,-0.49199885361266,-0.941933878194441,1.11842475836573,0.187677623948481,-0.68009365591659,-0.769353980261587,0.003285403,-0.391823681506404,8
"106",502,17,8,4,306.7333333,0.1325,30.57142857,94.64914286,0.308571429,0.2,0.491428571,"SAPRTE",0.09531018,11,1.84,-0.133885205875218,1.09531018,0.70828521,0.452308517,-1.788243708,-1.03950953664731,0.438190623493378,-0.220430962393596,-0.660209493181533,-2.03435454741199,2.01609576319562,-0.73057244026633,-0.929481202931855,0.003260161,-1.58370078525501,8
"154",604,23,9,4,230.2094203,0.201666667,12.59689922,97.65030738,0.424180328,0.264344262,0.31147541,"SAPRTE",0.230523659,34,4.87,2.10172607434988,1.230523659,1.689047497,1.656820942,-1.763992064,1.68848464991603,-0.932544496587104,-0.120314318312728,0.504616170963193,-0.8804718616199,0.478728266757359,1.14773104034185,0.362573343446759,0.004343871,0.87720376884802,9
"162",605,24,10,5,281.3952381,0.125333333,14.80314961,105.9014337,0.376344086,0.227598566,0.396057348,"SAPRTE",0.211309094,21,4.82,2.07802232808875,1.211309094,3.080402882,0.446601596,-1.157796906,-1.40065280687455,-0.683031562950828,0.139842799636169,0.0666065007032238,-1.49961388005855,1.2886802966382,-0.166285738811175,0.187881282835132,0.00355372,-0.1735663283832,10
"445",1103,61,11,10,377.5222222,0.144,41.84210526,65.84689922,0.174418605,0.441860465,0.38372093,"SAPRTE",0.194156014,17,2.5,0.570164044350376,1.194156014,2.00941305,-2.32745189,1.648757292,-0.498950922080212,0.923392973935212,-1.38415441627028,-2.7485700057487,1.2447474029833,1.18199596492116,-2.0896157014688,0.0295743355471854,0.002648851,-0.634379375210608,11
