"","Plot","Plot.2","Plot.3","Tag","sla","mean.thick","ssl","lar1","lmf","smf","rmf","sp","rgr.h","size","perc.canopy.open","log_light","new.rgr.h","Comp1","Comp2","Comp3","log_thick","log_ssl","log_lar","log_lmf","log_smf","log_rmf","log_lma","log_rgr","lma","log_ini_size","plot_id"
"473",1201,64,12,5,243.1816667,0.1635,16,107.0891743,0.440366972,0.247706422,0.311926606,"SAPRTE",0.133531393,24,3.15,1.10099823012547,1.133531393,0.562714073,0.18367533,-0.48767073,0.325874709650206,-0.562829530928761,0.17561329127217,0.641705076282519,-1.14939345871449,0.48360853367438,0.788946040752863,-0.548750935420199,0.004112152,0.117632724220386,12
"476",1201,64,12,8,289.7035714,0.142,20.77777778,118.9398827,0.410557185,0.263929619,0.325513196,"SAPRTE",0.245122458,23,3.15,1.10099823012547,1.245122458,0.562714073,0.18367533,-0.48767073,-0.589787449344135,-0.158858701205832,0.512231587364148,0.385121250152227,-0.886965738785099,0.627350484062041,-0.356727606471181,0.49348645957871,0.003451804,0.024820695870048,12
"483",1203,66,13,5,347.1,0.2105,133.3333333,106.8,0.307692308,0.461538462,0.230769231,"SAPRTE",0.117783036,9,1.02,-1.48895494393363,1.117783036,-0.579345853,-0.630283928,1.852059044,1.96690932519468,2.7151649942668,0.166941068764119,-0.670653468446162,1.42499056613995,-0.532376349315489,-1.53974081756609,-0.704045316354293,0.002881014,-2.02131410790039,13
"484",1203,66,13,6,255.7764706,0.165333333,6.632653061,50.46266925,0.19729207,0.379110251,0.423597679,"SAPRTE",0.120627988,44,1.02,-1.48895494393363,1.120627988,-0.579345853,-0.630283928,1.852059044,0.398294873284929,-1.92424001183152,-2.23759184740733,-2.29748385068237,0.611134201315665,1.51532627794791,0.458463207433664,-0.675830001384974,0.003909664,1.43946550286224,13
"541",1303,71,14,11,341.45,0.133,58.69565217,103.0792453,0.301886792,0.433962264,0.264150943,"SAPRTE",0.143100844,15,0.86,-1.88086002355453,1.143100844,-0.150391778,-1.533101221,0.850215291,-1.01504733888479,1.44666674099841,0.0532133553662689,-0.740381497221492,1.17013474273799,-0.076885355403277,-1.43232964471099,-0.455437052574457,0.002928686,-0.907329338007598,14
"576",1401,75,15,4,222.612,0.171,8.496240602,92.66919519,0.416281221,0.369102683,0.214616096,"SAPRTE",0.336472237,35,3.6,1.40770283075661,1.336472237,-1.454611174,1.754734421,-0.773825768,0.617165943109445,-1.54141335718832,-0.288233952901679,0.435805398360936,0.500467231247272,-0.777033494586284,1.36737041075871,1.27935582755787,0.004492121,0.940418441509588,15
"579",1401,75,15,9,251.2428571,0.1475,22.52631579,64.65808824,0.257352941,0.349264706,0.393382353,"SAPRTE",0.182321557,24,3.6,1.40770283075661,1.182321557,-1.454611174,1.754734421,-0.773825768,-0.34298136564234,-0.0339390708210751,-1.44258725293344,-1.32462820456654,0.271933668625005,1.26583208911188,0.575510736564742,-0.0809779607218416,0.003980213,0.117632724220386,15
"680",1507,88,16,17,242.1138889,0.185,20.83870968,119.6718535,0.494279176,0.354691076,0.151029748,"SAPRTE",0.3074847,34,3.32,1.22172720734874,1.3074847,0.938263932,-0.807958941,0.879547519,1.12824907843939,-0.154331518892499,0.531908754592134,1.06447659624959,0.335710274927897,-1.96167269107996,0.817747630461127,1.03595396225655,0.004130288,0.87720376884802,16
"697",1601,89,17,8,278.4444444,0.142333333,35.23809524,68.97247706,0.247706422,0.288990826,0.463302752,"SAPRTE",0.076961041,27,2.84,0.863045899386625,1.076961041,2.190030544,1.47908478,-2.759714311,-0.574559542389439,0.657822789747997,-1.23541876161309,-1.46447886282659,-0.511711348944063,1.81739654877635,-0.0972907508673739,-1.11700722148448,0.003591381,0.374488492154724,17
"700",1602,90,18,3,329.125,0.1475,40,157.1940299,0.47761194,0.149253731,0.373134328,"SAPRTE",0.538996501,12,2.34,0.418249342389468,1.538996501,1.92970597,2.287096068,-1.748198078,-0.34298136564234,0.853784937812266,1.40660674466015,0.938910598535024,-3.24505421592364,1.08767276164088,-1.19171649001765,2.84552130550303,0.003038359,-1.39395041983824,18
"817",1705,103,19,5,378.5888889,0.178666667,58.88888889,144.5521212,0.381818182,0.327272727,0.290909091,"SAPRTE",0.182321557,12,2.38,0.457180318928579,1.182321557,3.038341777,-0.493491857,1.248810627,0.902012815104757,1.4517481972955,1.13771066993304,0.119468220507336,0.0028952493463234,0.248426075967422,-2.10808151657223,-0.0809779607218416,0.002641388,-1.39395041983824,19
"893",1801,110,20,3,237.1142857,0.143666667,19.85815603,95.1477707,0.401273885,0.299363057,0.299363057,"SAPRTE",0.133531393,32,1.32,-0.896754320205076,1.133531393,0.071382225,2.727037666,-2.279822014,-0.514002375689675,-0.228846369202107,-0.203579110446237,0.3013993365718,-0.365840894855505,0.345005445058414,0.954312552025496,-0.548750935420199,0.004217376,0.744996412282531,20
"894",1801,110,20,4,296.265,0.1405,28.33333333,113.222293,0.382165605,0.343949045,0.27388535,"SAPRTE",0.074107972,14,1.32,-0.896754320205076,1.074107972,0.071382225,2.727037666,-2.279822014,-0.658758424897748,0.320650632878241,0.35422739669519,0.122797559004573,0.208490129593751,0.0451236209768713,-0.503305508190317,-1.14645196305619,0.003375357,-1.05778578437968,20
"896",1801,110,20,8,277.773913,0.155666667,21.11111111,127.05,0.457386364,0.255681818,0.286931818,"SAPRTE",0.302280872,23,1.32,-0.896754320205076,1.302280872,0.071382225,2.727037666,-2.279822014,0.00701050765593414,-0.134252903883452,0.72378818743622,0.780515649788263,-1.01830202486643,0.202014059603267,-0.0815115886385098,0.99168783043266,0.00360005,0.024820695870048,20
"906",1803,112,21,2,271.7648148,0.119,22.14285714,130.8833891,0.481605351,0.234113712,0.284280936,"SAPRTE",0.379489622,19,1.73,-0.275473996770459,1.379489622,2.400103183,-0.076769476,0.200334835,-1.73742511944832,-0.0604832726613537,0.819126305742825,0.96939046211779,-1.38286026481207,0.170721428562257,0.0616273307370823,1.63100226470566,0.003679652,-0.391823681506404,21
"947",1806,115,22,8,339.65625,0.126333333,30.98039216,143.9602649,0.42384106,0.337748344,0.238410596,"SAPRTE",0.194156014,17,2.84,0.863045899386625,1.194156014,1.39009002,1.187390175,2.716956957,-1.34903897884856,0.458735262111236,1.1245520094925,0.501687169323757,0.133232606896163,-0.422547488407861,-1.39785585402978,0.0295743355471854,0.002944153,-0.634379375210608,22
"1027",1904,125,23,4,269.0962963,0.126333333,18,118.1398374,0.43902439,0.278745645,0.282229965,"SAPRTE",0.207639365,16,2.03,0.0918289758320932,1.207639365,2.373824174,0.115981152,0.70627527,-1.34903897884856,-0.380733230400002,0.490585416632423,0.630527633352487,-0.661028182386702,0.146309639577686,0.126210986893443,0.154202431278674,0.003716142,-0.766586731776097,23
"1056",1908,128,24,6,285.66,0.2175,55.45454545,174.57,0.611111111,0.244444444,0.144444444,"SAPRTE",0.559615788,14,2.35,0.428044123234824,1.559615788,-0.586196156,1.380570188,-0.358082886,2.17937191903902,1.35884909602562,1.74286781945472,1.84117868618315,-1.20423099247289,-2.11197811716906,-0.264733398213411,2.9932491552648,0.003500665,-1.05778578437968,24
"1076",1910,130,25,5,264.5984127,0.159,10.52631579,115.0244692,0.434713376,0.317675159,0.247611465,"SAPRTE",0.362905494,46,1.93,-0.0241993597898627,1.362905494,-1.025139956,1.206155033,-0.440723745,0.144615340816283,-1.21016895919893,0.404875234336081,0.594404505489703,-0.120232918261791,-0.294882674938776,0.23653073513466,1.49675128307638,0.003779312,1.53640383992868,25
"1121",2002,137,26,12,245.8560976,0.137,14.08536585,95.54597156,0.388625592,0.259083728,0.352290679,"SAPRTE",0.300104592,27,4.7,2.02011490909138,1.300104592,1.747554877,-1.086158302,0.548960766,-0.822597530279201,-0.759874892496207,-0.190184637114945,0.184158013171922,-0.963624549667222,0.893875672978455,0.717361027120225,0.973122922100011,0.00406742,0.374488492154724,26
"1130",2003,138,27,3,340.75,0.2365,79.16666667,174,0.510638298,0.255319149,0.234042553,"SAPRTE",0.318453731,11,1.23,-1.05895387735941,1.318453731,0.489021831,0.71417365,2.795606949,2.72329935864974,1.90922345363281,1.73237856804178,1.18366979095335,-1.0241739102096,-0.484890387343073,-1.41889700080808,1.12868728303647,0.002934703,-1.58370078525501,27
"1136",2003,138,27,9,275.0833333,0.139666667,39.39393939,107.9766355,0.392523364,0.308411215,0.299065421,"SAPRTE",0.074107972,14,1.23,-1.05895387735941,1.074107972,0.489021831,0.71417365,2.795606949,-0.697394489000338,0.830180942583591,0.202082424790306,0.220689695963391,-0.242661310940774,0.34165177986196,-0.0178075590701475,-1.14645196305619,0.003635262,-1.05778578437968,27
"1209",2104,147,28,4,244.627957,0.162,14.24836601,90.43316298,0.36967632,0.303236797,0.327086882,"SAPRTE",0.127833372,25,1.99,0.0461185592250562,1.127833372,1.738162217,0.794362575,0.488253832,0.266015246026406,-0.742086470760703,-0.366570597713806,0.00116930088511228,-0.312655031993867,0.643610398762584,0.750136493462581,-0.604688545212501,0.00408784,0.20665543188519,28
"1210",2104,147,28,6,235.0180556,0.154333333,13.79310345,86.99897172,0.370179949,0.372750643,0.257069409,"SAPRTE",0.173271721,44,1.99,0.0461185592250562,1.173271721,1.738162217,0.794362575,0.488253832,-0.0488583020200056,-0.79229155560082,-0.490737457949909,0.00615294403593032,0.541151292644578,-0.168503009065919,1.0124292190981,-0.166266779753713,0.004254992,1.43946550286224,28
"1211",2104,147,28,7,316.1333333,0.134666667,33.75,113.4837607,0.358974359,0.41025641,0.230769231,"SAPRTE",0.143100844,15,1.99,0.0461185592250562,1.143100844,1.738162217,0.794362575,0.488253832,-0.934165756611436,0.591115650241016,0.36162539760913,-0.106367898091219,0.937752136631061,-0.532376349315489,-0.928131857973704,-0.455437052574457,0.003163222,-0.907329338007598,28
"1215",2105,148,29,2,306.7,0.135,50,145.0608108,0.472972973,0.27027027,0.256756757,"SAPRTE",0.485507816,13,1.02,-1.48895494393363,1.485507816,-0.545055106,1.472421006,0.527654384,-0.918109631437182,1.19877192982451,1.14897731501575,0.903181890489477,-0.788759464926231,-0.172605914522592,-0.729861814931287,2.45287405829173,0.003260515,-1.21939700446347,29
"1301",2202,161,30,3,245.2161458,0.184333333,10.12448133,103.9326711,0.42384106,0.266004415,0.310154525,"SAPRTE",0.127833372,50,2.45,0.523760998911384,1.127833372,1.604315879,1.462359049,-0.46007386,1.10480244979362,-1.27034360667642,0.0796576593670051,0.501687169323757,-0.854573229642538,0.464400443906924,0.734419295440753,-0.604688545212501,0.004078035,1.71823857594382,30
"1315",2204,163,31,10,296.225,0.123,62.5,164.0630769,0.553846154,0.307692308,0.138461538,"SAPRTE",0.074107972,14,1.65,-0.384222005188452,1.074107972,2.975966698,-0.261503124,1.017212324,-1.52270454464676,1.54375892183676,1.54377992236839,1.48100447697083,-0.25231532658642,-2.25459839142948,-0.502423317514129,-1.14645196305619,0.003375812,-1.05778578437968,31
"1318",2204,163,31,4,281.6333333,0.147,23.15315315,125.5219725,0.445692884,0.415730337,0.138576779,"SAPRTE",0.16034265,27,1.65,-0.384222005188452,1.16034265,2.975966698,-0.261503124,1.017212324,-0.365034717317224,0.00849448873201825,0.684981142668797,0.685711862614923,0.992582492087723,-2.2517935154429,-0.17182051920368,-0.289263132956252,0.003550716,0.374488492154724,31
"1319",2204,163,31,5,225.7336538,0.170666667,11.10062893,65.12149792,0.288488211,0.441054092,0.270457698,"SAPRTE",0.171850257,38,1.65,-0.384222005188452,1.171850257,2.975966698,-0.261503124,1.017212324,0.604493355036374,-1.1280385331111,-1.41968280540033,-0.906565388482909,1.23719115500077,0.00266398725474188,1.27623075303239,-0.179722905690853,0.00443,1.11975946255222,31
"1320",2204,163,31,6,256.4117647,0.157333333,17.85714286,86.19491525,0.336158192,0.435028249,0.228813559,"SAPRTE",0.068992871,30,1.65,-0.384222005188452,1.068992871,2.975966698,-0.261503124,1.017212324,0.076177329954661,-0.393052272593805,-0.520516887247857,-0.346756899193383,1.18028378491336,-0.561069705089925,0.442226853945435,-1.19943806765875,0.003899977,0.60425380605103,31
"1328",2206,165,32,8,234.625,0.182,44.34782609,93.85,0.4,0.2875,0.3125,"SAPRTE",0.09531018,11,1.7,-0.315653551280199,1.09531018,0.178808122,1.742064326,0.202359849,1.02206623657953,1.01331103254321,-0.247625201037893,0.289759869394602,-0.533106940908773,0.489800353751234,1.0233840449999,-0.929481202931855,0.00426212,-1.58370078525501,32
"1343",2305,171,33,1,223.1806667,0.179,9.652928416,84.47413576,0.378501136,0.348978047,0.272520818,"SAPRTE",0.127833372,50,1.71,-0.302182118952972,1.127833372,1.257278075,-0.150371298,-1.091524674,0.914118502350792,-1.34408166783527,-0.585193076497204,0.0875277195557963,0.268537040901254,0.0282846520375811,1.35067272710188,-0.604688545212501,0.004480675,1.71823857594382,33
"1348",2305,171,33,7,265.1555556,0.141333333,28.69565217,117.2266667,0.442105263,0.363157895,0.194736842,"SAPRTE",0.15415068,21,1.71,-0.302182118952972,1.15415068,1.257278075,-0.150371298,-1.091524674,-0.620350842608038,0.340295517830579,0.465698634308082,0.65612641216221,0.433298206895071,-1.10474401585868,0.222764373809837,-0.348654525407471,0.003771371,-0.1735663283832,33
"1361",2308,174,34,10,312.4214286,0.143666667,32.14285714,103.3204724,0.330708661,0.330708661,0.338582677,"SAPRTE",0.133531393,16,2.29,0.368638933709797,1.133531393,1.236844139,1.548842798,-0.337692476,-0.514002375689675,0.515684512266697,0.0607101644870517,-0.406586094628242,0.0460992468670184,0.760068566896482,-0.850829182533796,-0.548750935420199,0.003200805,-0.766586731776097,34
"1501",2503,192,35,12,226.3263158,0.177666667,15.63876652,48.75510204,0.215419501,0.514739229,0.26984127,"SAPRTE",0.14518201,37,1.29,-0.949558315334787,1.14518201,-1.014233773,0.682162527,-2.042889299,0.865559740085796,-0.598134488894194,-2.34799728969077,-1.97570860569902,1.87628891886613,-0.00502899745353365,1.25906902467734,-0.435246570102063,0.004418399,1.0616025892336,35
"1502",2503,192,35,13,221.3234043,0.174,9.166666667,60.24440154,0.272200772,0.44015444,0.287644788,"SAPRTE",0.173271721,44,1.29,-0.949558315334787,1.173271721,-1.014233773,0.682162527,-2.042889299,0.730120195857758,-1.42399235800814,-1.66934938514833,-1.11929918057148,1.22874449937246,0.21038106406897,1.40536532832525,-0.166266779753713,0.004518275,1.43946550286224,35
"1512",2504,193,36,2,359.45,0.122,65,159.7555556,0.444444444,0.407407407,0.148148148,"SAPRTE",0.223143551,15,0.97,-1.60439997644975,1.223143551,-1.813970951,1.068649042,-1.604029189,-1.57572284582996,1.60439538556442,1.4584482070136,0.675443659640227,0.908924524825272,-2.02662043707827,-1.76856307898203,0.295800798475405,0.002782028,-0.907329338007598,36
"1513",2504,193,36,3,253.1233333,0.147,23.57142857,123.4747967,0.487804878,0.341463415,0.170731707,"SAPRTE",0.15415068,21,0.97,-1.60439997644975,1.15415068,-1.813970951,1.068649042,-1.604029189,-0.365034717317224,0.0361751778791121,0.632242315019696,1.01621142892633,0.178486404909655,-1.54827741791938,0.526705848807505,-0.348654525407471,0.003950643,-0.1735663283832,36
"1615",3003,210,37,1,211.4111111,0.139666667,13.02521008,71.86456835,0.339928058,0.428057554,0.232014388,"SAPRTE",0.164303051,33,2.97,0.965849096234412,1.164303051,-0.759870616,0.867562141,-0.665556212,-0.697394489000338,-0.8808513415338,-1.1036794447062,-0.305933251274281,1.11346165227433,-0.514233994941401,1.70525248589072,-0.251442188333881,0.00473012,0.812101814800096,37
